BirminghamAL,LittleRockAR,MesaAZ,PhoenixAZ,ScottsdaleAZ,TempeAZ,TucsonAZ,AlamedaCA,BerkeleyCA,BeverlyHillsCA,FresnoCA,IrvineCA,LosAngelesCA,OaklandCA,PiedmontCA,SacramentoCA,SanDiegoCA,SanFranciscoCA,SanJoseCA,SantaClaraCA,SunnyvaleCA,WestHollywoodCA,ColoradoSpringsCO,DenverCO,WashingtonDC,GainesvilleFL,HialeahFL,JacksonvilleFL,MiamiFL,OrlandoFL,PompanoBeachFL,TallahasseeFL,TampaFL,AtlantaGA,NorcrossGA,RoswellGA,SmyrnaGA,DesMoinesIA,BoiseID,ChicagoIL,HarwoodHeightsIL,IndianapolisIN,WichitaKS,LexingtonKY,LouisvilleKY,BatonRougeLA,NewOrleansLA,BostonMA,SomervilleMA,BaltimoreMD,TakomaParkMD,GrandRapidsMI,MinneapolisMN,StPaulMN,KansasCityMO,SpringfieldMO,StLouisMO,JacksonMS,CaryNC,CharlotteNC,DurhamNC,GreensboroNC,RaleighNC,LincolnNE,OmahaNE,NewarkNJ,AlbuquerqueNM,LasVegasNV,RenoNV,AlbanyNY,BuffaloNY,NewYorkNY,RochesterNY,SyracuseNY,CincinnatiOH,ClevelandOH,ColumbusOH,DaytonOH,OklahomaCityOK,TulsaOK,BeavertonOR,EugeneOR,PortlandOR,PhiladelphiaPA,PittsburghPA,StateCollegePA,ProvidenceRI,ColumbiaSC,GreenvilleSC,KnoxvilleTN,MemphisTN,NashvilleTN,AddisonTX,AustinTX,DallasTX,FtWorthTX,HoustonTX,IrvingTX,LubbockTX,McNeilTX,PlanoTX,SanAntonioTX,MidvaleUT,SaltLakeCityUT,ArlingtonVA,AshburnVA,HerndonVA,NorfolkVA,RestonVA,RichmondVA,BellevueWA,SeattleWA,SpokaneWA,MadisonWI,MilwaukeeWI
0.0051761398,0.0042669443,0.0040954661,0.0041230627,0.0041127078,0.0041823814,0.0042452168,0.0060841375,0.0060841375,0.0065337993,0.005388499,0.0065747121,0.0065337993,0.005494891,0.005494891,0.0053738587,0.0062810535,0.006237383,0.0053243125,0.0054967799,0.0053085608,0.0061895632,0.0022472818,0.0022892908,0.0035520384,0.0091827033,0.0127373345,0.0094884925,0.0128309304,0.0102645571,0.0128033828,0.0077127047,0.010601354,0.0050603932,0.0050122352,0.0049428217,0.0050406866,0.0022744786,0.00312688,0.0025320467,0.0025279693,0.0031403241,0.0030245168,0.0034934422,0.0034887807,0.0066282148,0.0076280439,0.0029842957,0.0029307276,0.0034525665,0.0035943238,0.0025004446,0.0016303359,0.001640995,0.0029822689,0.0034708116,0.0032198918,0.0054463547,0.0046167335,0.0045402943,0.0045753682,0.0041089533,0.0046215623,0.0023966505,0.0023623668,0.0033411682,0.0029112113,0.0033862399,0.0031695424,0.002585447,0.0026187085,0.0029417118,0.0026589491,0.0026219321,0.0032729057,0.0029820613,0.0031759033,0.0031504175,0.0037339346,0.003704772,0.0046286313,0.0051821285,0.0046329118,0.0033936234,0.0030106849,0.0029205186,0.0031372793,0.0054026894,0.0047681651,0.0044272866,0.0042167905,0.0040833516,0.0048867512,0.0059497089,0.0050044533,0.0048518734,0.0070243682,0.0049806175,0.0032669797,0.0057858668,0.004865954,0.0061061526,0.003152613,0.0031980846,0.0035520384,0.0034919658,0.0034936529,0.0048619707,0.0034800328,0.0038989422,0.0044354437,0.0044547986,0.003095424,0.0020919918,0.0023717227
0.0053742773,0.0046876269,0.0041058955,0.0040969542,0.0040995396,0.0041856535,0.0042005833,0.0062045639,0.0062045639,0.0064734,0.0052289066,0.0065281042,0.0064734,0.0055945941,0.0055945941,0.0053155486,0.0062247517,0.0063744854,0.0054777333,0.0056682153,0.0054756503,0.0061342306,0.0023411816,0.0024068437,0.003578822,0.0082331894,0.0123658526,0.0085520648,0.0124879533,0.0092577342,0.0124890346,0.007106021,0.0097129387,0.0051138505,0.0050460439,0.0049797616,0.0051051092,0.0021988186,0.0032075344,0.0026099922,0.0025987616,0.0033432717,0.003032871,0.0038656748,0.0038501151,0.0068811103,0.0076721898,0.0026776207,0.0026384457,0.0035015741,0.0036290346,0.0025787672,0.0015879648,0.0016055616,0.0029631134,0.0037046679,0.003430987,0.0058024658,0.0046188075,0.0046716141,0.0045588898,0.0042034908,0.0046101245,0.0022270175,0.0021800998,0.0032661186,0.0028409882,0.0033844875,0.0031473545,0.0024047314,0.0026351245,0.0032977759,0.0025837571,0.0025176241,0.0036683814,0.0031896536,0.0035341071,0.0034630818,0.0038562766,0.0038945853,0.0046302403,0.0054009285,0.0046248931,0.0033294613,0.0032461078,0.0030125196,0.0028859839,0.0053134304,0.0046970248,0.0047425307,0.0046129137,0.0044710179,0.0048443082,0.0056869172,0.0049431259,0.0047545964,0.0067723182,0.0049101078,0.0033471325,0.0055263856,0.0048349266,0.0057650662,0.003000651,0.0030317944,0.003578822,0.0035055807,0.0035081818,0.005222672,0.0034930894,0.0039369634,0.0045094382,0.0045334476,0.0031364087,0.002100096,0.0023914321
0.0047895233,0.0040501646,0.004285528,0.0043054748,0.0042966526,0.004378745,0.0043404495,0.0065281585,0.0065281585,0.0066264078,0.0053570623,0.0066143266,0.0066264078,0.0059178582,0.0059178582,0.0054751252,0.0063257384,0.0066839814,0.0057897245,0.0060014589,0.0058048943,0.0063270932,0.0025350085,0.0024703075,0.0036431347,0.0073184271,0.0117647576,0.007606324,0.0118937545,0.0084427441,0.0118360788,0.0063053823,0.0091980795,0.0047958906,0.004747074,0.0046855361,0.0047721149,0.0020918198,0.0033473533,0.0025950069,0.0025805604,0.0030982632,0.002636517,0.0036250115,0.0035113552,0.0057973708,0.0064643489,0.0026841003,0.0026438771,0.0035688434,0.0036977121,0.0025902879,0.0015684448,0.0015718292,0.0024901941,0.0032450472,0.0031800469,0.0048843896,0.0045482361,0.0045957851,0.0045145938,0.0041523208,0.0045483191,0.0021391764,0.0020861913,0.0032661479,0.0030069609,0.0038442297,0.0034225467,0.0024283913,0.0026127212,0.0031917259,0.0025581313,0.0025601302,0.0033909719,0.0031741323,0.0034161094,0.0032415795,0.0032562312,0.003291584,0.0047433911,0.0054517068,0.0047356853,0.0033827188,0.0032792563,0.0030711163,0.0029761622,0.005041158,0.0044797118,0.0044618274,0.0040384844,0.0040723469,0.0041793535,0.0050762542,0.0042667604,0.0041603392,0.0062184188,0.0042580021,0.0032480708,0.0049233497,0.0041711816,0.0052302118,0.0032140953,0.0032378842,0.0036431347,0.0035620972,0.003577492,0.0050833403,0.0035558076,0.0039873035,0.0045913203,0.0046139495,0.0031530005,0.0019906569,0.0023247736
0.0043248377,0.0038983668,0.0044759135,0.0045039365,0.0044785448,0.0045746927,0.0045230215,0.0063330911,0.0063330911,0.0069145776,0.0054626095,0.0070278766,0.0069145776,0.0057367644,0.0057367644,0.0054028797,0.0070684884,0.0064826203,0.0056002155,0.0057998769,0.0056160523,0.0066644057,0.0026348285,0.0025629306,0.0032214811,0.0066424943,0.0110014606,0.0070302096,0.0111373672,0.0078429411,0.011174053,0.0057006175,0.0083064422,0.0041872391,0.0041334734,0.0040874707,0.004170195,0.0022070071,0.0032949823,0.0024490561,0.0024523106,0.0027635564,0.0029242363,0.0031051592,0.0031009943,0.0062738759,0.0071107377,0.0026536415,0.0026054002,0.0031398762,0.0032630273,0.0025341707,0.0016385377,0.0016392266,0.0026773342,0.003161729,0.0028524457,0.0048974231,0.0038951325,0.004042203,0.0038860974,0.0036658745,0.0038903391,0.0023574974,0.0023189446,0.0030388436,0.0033401583,0.0041904859,0.0033499241,0.0023324078,0.0025656804,0.0031787417,0.0025535339,0.0024931717,0.0029517714,0.0027533901,0.0028688189,0.0028268533,0.0034586102,0.0034343425,0.004732813,0.0054311439,0.0047238839,0.0030374002,0.0028087839,0.0027039408,0.0029142182,0.0044092498,0.0039691814,0.0038750203,0.0037688481,0.0036049665,0.0044102568,0.005674912,0.0045103248,0.004399903,0.0069577585,0.0044994571,0.0033435568,0.0054883932,0.0043943641,0.0059536162,0.0034267378,0.0034651917,0.0032214811,0.0031592088,0.0031621863,0.0044399349,0.0031480474,0.0035100311,0.0044537196,0.004463113,0.0030543509,0.0019326467,0.0022645196
0.0053088111,0.0047700691,0.0044995396,0.004505484,0.0044902181,0.0045881812,0.0045934149,0.0062568733,0.0062568733,0.0066281132,0.0051293493,0.0067197358,0.0066281132,0.0056316563,0.0056316563,0.005126283,0.006603042,0.0064426326,0.0054967302,0.0057076358,0.0055305462,0.0063236576,0.0025326899,0.002483284,0.0032351014,0.0076613705,0.0119344847,0.0080866594,0.0120693989,0.0087611746,0.0120626705,0.0067191642,0.0092465195,0.0046855156,0.0046127753,0.0045420448,0.0046670833,0.0021965604,0.0030686455,0.0025841069,0.0025770017,0.0030596066,0.0028296969,0.0035008094,0.0035391899,0.0078264892,0.0087793097,0.0026076503,0.0025624781,0.0031552104,0.0032877979,0.0025851743,0.0016168736,0.0016291983,0.0027031674,0.0034784792,0.0031535986,0.0063567108,0.0040944667,0.0042012802,0.004061842,0.003729658,0.0040959392,0.0022959049,0.0022521816,0.0030683667,0.0033814622,0.0037091528,0.0031823323,0.0023932635,0.0026567813,0.0029837953,0.0026262205,0.0025219691,0.0032805521,0.0028480757,0.0031639618,0.0031369969,0.0034894604,0.0035422219,0.0044929917,0.005138875,0.0044871222,0.0030048597,0.0027953792,0.0026612882,0.0028557646,0.0047030215,0.0042741007,0.004309733,0.0045780757,0.0042268729,0.0050059434,0.0065360087,0.0051482448,0.004941067,0.0082602747,0.0051031757,0.0033241181,0.0063163368,0.0049979243,0.0068141986,0.0031471785,0.0031816368,0.0032351014,0.0031536882,0.003157266,0.0046319531,0.0031402788,0.0034940264,0.0043240261,0.004338392,0.0029519559,0.0020501233,0.0023562969
0.0057307946,0.0040909012,0.0042515484,0.0042707523,0.0042599064,0.0043398009,0.0043693547,0.0065600045,0.0065600045,0.0066742969,0.0052784177,0.0067056205,0.0066742969,0.0059823472,0.0059823472,0.0054110562,0.0065560243,0.0066843736,0.0058967427,0.0061032917,0.005901858,0.0063826122,0.0023824654,0.0023203023,0.0035057566,0.00867845,0.0125743983,0.0087939063,0.0127071229,0.0095946719,0.0126478729,0.0077033243,0.0102401743,0.0056252743,0.0055588997,0.0054568885,0.0056001573,0.0018006155,0.0031926936,0.0021978547,0.0021990644,0.0026831538,0.00243037,0.0034062184,0.0033464736,0.007399571,0.008370953,0.0028795819,0.0028400628,0.0034809219,0.0035660101,0.0022753396,0.0013509568,0.0013585064,0.0023548918,0.0028431644,0.002656878,0.0060711432,0.0048311615,0.004938351,0.0047791201,0.0043362132,0.004831676,0.0020013214,0.0019620043,0.0033472663,0.003193053,0.0036887177,0.003276408,0.0025219316,0.0025243819,0.0030082542,0.002528409,0.0025180587,0.0031230885,0.0027853462,0.0031137514,0.0029817809,0.0029747432,0.0029890276,0.0047304285,0.0053704719,0.0047339903,0.0033630378,0.002989651,0.0029471924,0.0031544639,0.005655725,0.0051287094,0.0047670858,0.004051103,0.0040545849,0.0041599221,0.0055745745,0.004284995,0.0041220943,0.0071681668,0.0042496141,0.00294982,0.0053665019,0.0041624162,0.0058610044,0.0031466255,0.0031826686,0.0035057566,0.0034213378,0.0034318361,0.0052517674,0.0034132462,0.004037583,0.0044861851,0.004513267,0.003198024,0.0017080411,0.0020203061
0.0045959715,0.0037155802,0.0042678568,0.004284878,0.0042738745,0.0043560346,0.0043642554,0.0067268425,0.0067268425,0.0067918339,0.0054411856,0.0068710922,0.0067918339,0.0061580689,0.0061580689,0.0056003259,0.0067486099,0.0068337613,0.0060094387,0.0062072599,0.0059920811,0.0065097783,0.002380029,0.002411871,0.0031241016,0.0079425912,0.0124466064,0.008256813,0.0125779818,0.0092683849,0.0125100557,0.0067455082,0.0098460016,0.0045915189,0.004537147,0.0044624957,0.0045592248,0.0019496726,0.0034239047,0.0020351733,0.0020299101,0.0023862731,0.0026278441,0.0029604856,0.0029558901,0.0062101399,0.0072158354,0.0024322839,0.0023935106,0.0030634516,0.0031891967,0.0020444856,0.0014962024,0.0014997646,0.0024974205,0.0028649507,0.0025005344,0.0048898319,0.0041824418,0.0043241394,0.0041490338,0.0038346977,0.0041855311,0.0020995635,0.0020410691,0.0029023734,0.0031580043,0.0037406616,0.0032541509,0.0022196752,0.0021596589,0.0032740271,0.0021885783,0.0021528946,0.0027262752,0.0023681175,0.002682505,0.0025620495,0.0031644128,0.0030896302,0.0049358995,0.0056067061,0.0049437578,0.002963204,0.0026778193,0.0026079682,0.0026678516,0.0049808405,0.0043308203,0.0040695228,0.0036665875,0.0034925302,0.0039966951,0.0050191493,0.0041031837,0.0039835906,0.0064020604,0.0040833097,0.0031616854,0.0048617687,0.0039948413,0.0052401337,0.0033400175,0.0033795116,0.0031241016,0.0030231696,0.0030335019,0.0046078175,0.0030182196,0.0036792849,0.0045111436,0.0045199745,0.0032563661,0.0017070281,0.0019468295
0.0046464328,0.0038557571,0.0042986941,0.0043023639,0.004301634,0.0043879295,0.0042576142,0.0067178229,0.0067178229,0.0067647111,0.0057510965,0.0068765083,0.0067647111,0.0061388028,0.0061388028,0.0056753799,0.006644025,0.0068310194,0.0059483597,0.0061299215,0.0059087205,0.0064890906,0.0023937573,0.0024452042,0.0029669762,0.0074603613,0.0120221613,0.0078128287,0.0121618602,0.0086251641,0.0121663779,0.006346154,0.0092060772,0.004343213,0.0042959679,0.0042351967,0.0043359616,0.0020843786,0.003564074,0.002217863,0.0022187439,0.0025705266,0.0027153675,0.0030469193,0.0030687453,0.0064594352,0.0074763693,0.0024070943,0.002373537,0.0028873804,0.0030321807,0.0022456276,0.0015275273,0.0015363231,0.0025966071,0.0030574846,0.0027443887,0.0052551589,0.0037411484,0.0038858391,0.0037079637,0.0034418068,0.0037403345,0.0021642693,0.0021092932,0.002857612,0.0029910149,0.0039312708,0.0034197573,0.0022650259,0.0022597186,0.0028365922,0.0023040384,0.002259463,0.0027586804,0.0024939158,0.0027091932,0.0026374439,0.0033211783,0.0032333352,0.0051318708,0.0056634886,0.005142709,0.0028231946,0.002566146,0.0024766717,0.0026706047,0.004415729,0.00397973,0.0039818575,0.0038465408,0.0035351436,0.0043733141,0.0054815384,0.0044966186,0.0043938259,0.0069326498,0.004484078,0.0031650852,0.0053103467,0.0043553846,0.0056017648,0.0034650059,0.0035031139,0.0029669762,0.002862072,0.0028678481,0.0043836387,0.0028563335,0.0032881033,0.004700475,0.0046998417,0.003348074,0.0018813943,0.0021276505
0.0046457689,0.0040858564,0.0043545304,0.0043605918,0.0043611686,0.0044476488,0.0043343856,0.006503286,0.006503286,0.0069105179,0.0057357991,0.0068910519,0.0069105179,0.0059167453,0.0059167453,0.0055082207,0.0064943099,0.006632395,0.0056435658,0.0058274634,0.0056227616,0.0065855012,0.002527737,0.0024677248,0.0030064281,0.0076411327,0.0117852774,0.0079512806,0.0119174483,0.0085850715,0.0118896709,0.0064965889,0.0092315094,0.0042663396,0.0042275476,0.0041615552,0.0042530524,0.0020740283,0.0035515929,0.0022651245,0.002271046,0.0025694632,0.0027696186,0.0031735219,0.0030553354,0.0063601231,0.0074136245,0.0024250295,0.0023950292,0.0029099076,0.0030655778,0.0022949795,0.0016011224,0.0016102349,0.0025707568,0.0030024568,0.0026951644,0.0052614821,0.0037735927,0.0038294681,0.0037356931,0.0034624125,0.0037732319,0.0021714342,0.0021498776,0.002830934,0.0031346304,0.0040616644,0.00336792,0.0022339674,0.0023590708,0.0028027793,0.0023603267,0.0023047774,0.0027995108,0.0025755736,0.0027463774,0.0026684049,0.0033065863,0.0032274457,0.0050704158,0.0056014106,0.0050713616,0.0028163059,0.0026274618,0.0024836313,0.0026030955,0.0043648535,0.0039771813,0.0039158104,0.0039891193,0.0037183391,0.0042482661,0.0055391616,0.0043548561,0.0041815127,0.00683973,0.0043156658,0.003023421,0.0053336387,0.004245403,0.0058037023,0.0036091717,0.0036463658,0.0030064281,0.002909249,0.0029130594,0.0044394535,0.0029023462,0.0033046406,0.0047251175,0.0047251446,0.003341262,0.0019512332,0.0021931748
0.0045959424,0.0041482306,0.0045304151,0.0045594998,0.0045484509,0.0046289957,0.0044710898,0.0064271378,0.0064271378,0.0069349934,0.0055055754,0.0069309212,0.0069349934,0.0058095705,0.0058095705,0.0054017757,0.0065544427,0.0065874479,0.0056211257,0.0058294462,0.0056519319,0.0066208747,0.0024963773,0.0025560036,0.0029115326,0.0071659643,0.0112538892,0.0073496663,0.0113886795,0.0081017576,0.011309383,0.0062167646,0.0087429493,0.0041986451,0.0041264844,0.0040753837,0.0041861372,0.0020884049,0.0036154825,0.0022815837,0.0022793872,0.0026428774,0.002687049,0.003182966,0.0031651788,0.0064808226,0.0073783775,0.0024095559,0.0023849479,0.002827801,0.0029772451,0.0023753493,0.0016379847,0.0016528399,0.0025481615,0.0031195615,0.0028482962,0.0054287278,0.003732299,0.0037378625,0.0036970299,0.0033835281,0.0037367663,0.0021681962,0.0021581413,0.0028230948,0.0032506307,0.0039400698,0.0033706691,0.0021753069,0.0023619517,0.0027681802,0.0023813205,0.0022738642,0.0028523663,0.0025908903,0.0026966507,0.0026330826,0.0032329597,0.0032599198,0.0048712174,0.005448683,0.004877241,0.0027631688,0.0025692788,0.0024272924,0.0026170031,0.0043216003,0.0038023,0.0039067576,0.0040536149,0.0037168587,0.0043817104,0.0055134122,0.0044852024,0.004329483,0.0067818889,0.0044552215,0.0029761684,0.0053227549,0.004385241,0.0057152528,0.0034926505,0.0035255238,0.0029115326,0.0028024788,0.0028113177,0.0044162747,0.0027996128,0.0032115469,0.004698074,0.0047161083,0.0032553646,0.0019894799,0.0022191146
