Date,StringencyIndex_WeightedAverage
2020-03-01,13.89
2020-03-08,16.535714285714285
2020-03-15,36.11142857142857
2020-03-22,76.59
2020-03-29,82.41
2020-04-05,82.41
2020-04-12,82.41
2020-04-19,82.41
2020-04-26,82.41
2020-05-03,82.41
2020-05-10,76.05857142857144
2020-05-17,67.59
2020-05-24,67.59
2020-05-31,67.59
2020-06-07,67.59
2020-06-14,67.59
2020-06-21,67.59
2020-06-28,67.59
2020-07-05,67.59
2020-07-12,67.59
2020-07-19,67.59
2020-07-26,67.59
2020-08-02,67.59
2020-08-09,66.79714285714286
2020-08-16,65.74
2020-08-23,65.74
2020-08-30,65.1442857142857
2020-09-06,64.35
2020-09-13,64.35
2020-09-20,64.35
2020-09-27,64.35
2020-10-04,64.35
2020-10-11,63.15857142857142
2020-10-18,61.57
2020-10-25,61.57
2020-11-01,59.59142857142857
2020-11-08,58.8
2020-11-15,58.8
2020-11-22,59.32857142857143
2020-11-29,60.65
2020-12-06,63.43
2020-12-13,63.43
2020-12-20,63.43
2020-12-27,63.43
2021-01-03,65.40857142857143
2021-01-10,64.22142857142858
2021-01-17,63.43
2021-01-24,63.43
2021-01-31,62.10142857142858
2021-02-07,61.57
2021-02-14,61.57
