Date,StringencyIndex_WeightedAverage
2020-03-01,8.33
2020-03-08,8.33
2020-03-15,28.968571428571426
2020-03-22,58.07142857142857
2020-03-29,69.84285714285714
2020-04-05,80.56
2020-04-12,80.56
2020-04-19,80.56
2020-04-26,79.36857142857143
2020-05-03,76.72285714285715
2020-05-10,76.72285714285715
2020-05-17,76.58857142857143
2020-05-24,72.61714285714285
2020-05-31,69.44
2020-06-07,69.44
2020-06-14,69.44
2020-06-21,69.44
2020-06-28,69.44
2020-07-05,69.44
2020-07-12,69.44
2020-07-19,69.44
2020-07-26,69.44
2020-08-02,69.44
2020-08-09,69.44
2020-08-16,65.74
2020-08-23,63.89
2020-08-30,63.89
2020-09-06,62.69857142857143
2020-09-13,61.11
2020-09-20,61.11
2020-09-27,61.11
2020-10-04,61.11
2020-10-11,61.11
2020-10-18,61.11
2020-10-25,61.11
2020-11-01,61.11
2020-11-08,61.11
2020-11-15,62.30142857142857
2020-11-22,63.89
2020-11-29,63.89
2020-12-06,63.89
2020-12-13,65.47571428571429
2020-12-20,67.59
2020-12-27,67.59
2021-01-03,67.59
2021-01-10,71.56142857142858
2021-01-17,73.15
2021-01-24,73.15
2021-01-31,73.15
2021-02-07,73.15
2021-02-14,73.15
